damID	flooded_list
601561	[401297, 601554, 601555, 601556, 601558, 601559, 601560]
601562	[401297, 601554, 601555, 601556, 601558, 601559, 601560, 601561]
601563	[601556, 601558, 601559, 601560, 601561, 601562]
601564	[601563]
601567	[601564]
601568	[601564, 601567]
601570	[401409, 601564, 601567, 601568]
601571	[601567, 601568, 601570]
601572	[601568, 601570, 601571]
601573	[301060, 301061, 601570, 601571, 601572]
601574	[601571, 601572, 601573]
601576	[601573, 601574]
601577	[301060, 301061, 601571, 601572, 601573, 601574, 601576]
601578	[601577]
601579	[601577, 601578]
601580	[601577, 601578, 601579]
601581	[601579, 601580]
601582	[601578, 601579, 601580, 601581]
601583	[601580, 601581, 601582]
601584	[601581, 601582, 601583]
601585	[601579, 601580, 601581, 601582, 601583, 601584]
601586	[601581, 601582, 601583, 601584, 601585]
601587	[601584, 601585, 601586]
601588	[601584, 601585, 601586, 601587]
601589	[601584, 601585, 601586, 601587, 601588]
601590	[601585, 601586, 601587, 601588, 601589]
601591	[601587, 601588, 601589, 601590]
601592	[601588, 601589, 601590, 601591]
601593	[601591, 601592]
601594	[401329, 401330, 401331, 401332, 401334, 601584, 601585, 601586, 601587, 601588, 601589, 601590, 601591, 601592, 601593]
601595	[401330, 401331, 401332, 401334, 601585, 601586, 601587, 601588, 601589, 601590, 601591, 601592, 601593, 601594]
601597	[301141, 301143, 401330, 401331, 401332, 401334, 601586, 601587, 601588, 601589, 601590, 601591, 601592, 601593, 601594, 601595]
601598	[301143, 401332, 401334, 601587, 601588, 601589, 601590, 601591, 601592, 601593, 601594, 601595, 601597]
601599	[301143, 401332, 401334, 601587, 601588, 601589, 601590, 601591, 601592, 601593, 601594, 601595, 601597, 601598]
601600	[301143, 401334, 601588, 601589, 601590, 601591, 601592, 601593, 601594, 601595, 601597, 601598, 601599]
601601	[200536, 301143, 401334, 601588, 601589, 601590, 601591, 601592, 601593, 601594, 601595, 601597, 601598, 601599, 601600]
601602	[200536, 301143, 401334, 601591, 601592, 601593, 601594, 601595, 601597, 601598, 601599, 601600, 601601]
601603	[301143, 601595, 601597, 601598, 601599, 601600, 601601, 601602]
601604	[601597, 601598, 601599, 601600, 601601, 601602, 601603]
601605	[601599, 601600, 601601, 601602, 601603, 601604]
601607	[401445, 401446, 601600, 601601, 601602, 601603, 601604, 601605]
601608	[401445, 401446, 601600, 601601, 601602, 601603, 601604, 601605, 601607]
601609	[401445, 401446, 601600, 601601, 601602, 601603, 601604, 601605, 601607, 601608]
601610	[401446, 601600, 601601, 601602, 601603, 601604, 601605, 601607, 601608, 601609]
601611	[401446, 601603, 601604, 601605, 601607, 601608, 601609, 601610]
601612	[401446, 601607, 601608, 601609, 601610, 601611]
601614	[601607, 601608, 601609, 601610, 601611, 601612]
601615	[401415, 401416, 401417, 401446, 601607, 601608, 601609, 601610, 601611, 601612, 601614]
601616	[401416, 401417, 601609, 601610, 601611, 601612, 601614, 601615]
601618	[401415, 401416, 401417, 601607, 601608, 601609, 601610, 601611, 601612, 601614, 601615, 601616]
601619	[401415, 401416, 401417, 601609, 601610, 601611, 601612, 601614, 601615, 601616, 601618]
601620	[401416, 401417, 601609, 601610, 601611, 601612, 601614, 601615, 601616, 601618, 601619]
601621	[401416, 401417, 601611, 601612, 601614, 601615, 601616, 601618, 601619, 601620]
601622	[401417, 601612, 601614, 601615, 601616, 601618, 601619, 601620, 601621]
601623	[401417, 601612, 601614, 601615, 601616, 601618, 601619, 601620, 601621, 601622]
