damID	depth	storage	outflow_rect
200057	1.7	1677.53	0.43
200057	1.8	1863.35	0.44
200057	1.9	2049.18	0.45
200057	2.0	2235.0	0.47
200057	2.1	2611.4	0.48
200057	2.2	2987.8	0.49
200057	2.3	3364.2	0.5
200057	2.4	3740.6	0.51
200057	2.5	4117.0	0.53
200057	2.6	4493.4	0.54
200057	2.7	4869.8	0.55
200057	2.8	5246.2	0.56
200057	2.9	5622.6	0.57
200057	3.0	5999.0	0.58
200057	3.1	6051.73	0.59
200057	3.104132536	6526.33	0.59
200058	0.0	0.0	0.0
200058	0.1	6.15	0.0
200058	0.2	12.31	0.02
200058	0.3	18.46	0.06
200058	0.4	24.62	0.15
200058	0.5	30.77	0.19
200058	0.6	36.92	0.22
200058	0.7	43.08	0.25
200058	0.8	49.23	0.27
200058	0.9	55.39	0.29
200058	1.0	61.54	0.31
200058	1.1	94.49	0.33
200058	1.2	127.43	0.35
200058	1.3	160.38	0.36
200058	1.4	193.32	0.38
200058	1.5	226.27	0.4
200058	1.6	259.22	0.41
200058	1.7	292.16	0.43
200058	1.8	325.11	0.44
200058	1.9	358.05	0.45
200058	2.0	391.0	0.47
200058	2.1	468.4	0.48
200058	2.2	545.8	0.49
200058	2.3	623.2	0.5
200058	2.4	700.6	0.51
200058	2.5	778.0	0.53
200058	2.6	855.4	0.54
200058	2.7	932.8	0.55
200058	2.8	1010.2	0.56
200058	2.9	1087.6	0.57
200058	3.0	1165.0	0.58
200058	3.1	1176.83	0.59
200058	3.115708085	1283.3	0.59
200061	0.0	0.0	0.0
200061	0.1	79.88	0.0
200061	0.2	159.76	0.02
200061	0.3	239.65	0.06
200061	0.4	319.53	0.15
200061	0.5	399.41	0.19
200061	0.6	479.29	0.22
200061	0.7	559.17	0.25
200061	0.8	639.06	0.27
200061	0.9	718.94	0.29
200061	1.0	798.82	0.31
200061	1.1	1051.74	0.33
200061	1.2	1304.66	0.35
200061	1.3	1557.57	0.36
200061	1.4	1810.49	0.38
200061	1.5	2063.41	0.4
200061	1.6	2316.33	0.41
200061	1.7	2569.25	0.43
200061	1.8	2822.16	0.44
200061	1.9	3075.08	0.45
200061	2.0	3328.0	0.47
200061	2.1	3448.97	0.48
200061	2.2	3569.94	0.49
200061	2.3	3690.91	0.5
200061	2.309247109	4537.71	0.5
200062	0.0	0.0	0.0
200062	0.1	85.67	0.0
200062	0.2	171.34	0.02
200062	0.3	257.02	0.06
200062	0.4	342.69	0.15
200062	0.5	428.36	0.19
200062	0.6	514.03	0.22
200062	0.7	599.7	0.25
200062	0.8	685.38	0.27
200062	0.9	771.05	0.29
200062	1.0	856.72	0.31
200062	1.1	1078.75	0.33
200062	1.2	1300.78	0.35
200062	1.3	1522.8	0.36
200062	1.4	1744.83	0.38
200062	1.5	1966.86	0.4
200062	1.6	2188.89	0.41
200062	1.7	2410.92	0.43
200062	1.8	2632.94	0.44
200062	1.9	2854.97	0.45
200062	2.0	3077.0	0.47
200062	2.1	3238.2	0.48
200062	2.2	3399.4	0.49
200062	2.3	3560.6	0.5
200062	2.4	3721.81	0.51
200062	2.5	3883.01	0.53
200062	2.505019215	4689.02	0.53
200063	0.0	0.0	0.0
200063	0.1	17.83	0.0
200063	0.2	35.65	0.02
200063	0.3	53.48	0.06
200063	0.4	71.3	0.15
200063	0.5	89.13	0.19
200063	0.6	106.95	0.22
200063	0.7	124.78	0.25
200063	0.8	142.6	0.27
200063	0.9	160.43	0.29
200063	1.0	178.25	0.31
200063	1.1	265.13	0.33
200063	1.2	352.0	0.35
200063	1.3	438.88	0.36
200063	1.4	525.75	0.38
200063	1.5	612.63	0.4
200063	1.6	699.5	0.41
200063	1.7	786.38	0.43
200063	1.8	873.25	0.44
200063	1.9	960.13	0.45
200063	2.0	1047.0	0.47
200063	2.1	1217.9	0.48
200063	2.2	1388.8	0.49
